"portfolio_name","code","name","in_date","in_weight","today_date","today_weight","period_ret","Date","close"
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150130,117.082
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150202,28.1353
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150202,6.8277
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150202,27.7086
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150202,36.6722
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150202,17.8526
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150202,54.9644
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150202,23.6
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150202,23.9028
"智慧圖形辨識投資策略","3701","NA",20150127,0.001,20150305,0.0009838513,1.11402e-05,20150202,18.8715
"智慧圖形辨識投資策略","2330","NA",20150127,0.001,20150305,0.0010028135,0.0002040893,20150202,118.3276
"智慧圖形辨識投資策略","5604","中連貨",20150127,0.001,20150305,0.0009603056,-0.000228448,20150203,28.3484
"智慧圖形辨識投資策略","1454","NA",20150127,0.001,20150305,0.0010668614,0.0008558063,20150203,6.8027
"智慧圖形辨識投資策略","6248","沛波",20150127,0.001,20150305,0.0009310326,-0.000526313,20150203,27.1127
"智慧圖形辨識投資策略","2882","NA",20150127,0.001,20150305,0.0009975668,0.0001507016,20150203,36.7523
"智慧圖形辨識投資策略","6291","沛亨",20150127,0.001,20150305,0.0011033965,0.0012275679,20150203,17.0279
"智慧圖形辨識投資策略","1326","NA",20150127,0.001,20150305,0.0009757373,-7.1423e-05,20150203,56.6251
"智慧圖形辨識投資策略","8084","巨虹",20150127,0.001,20150305,0.0010062487,0.0002390438,20150203,23
"智慧圖形辨識投資策略","5520","力泰",20150127,0.001,20150305,0.0009721859,-0.00010756,20150203,23.9028
