portfolio_name,code,name,in_date,in_weight,today_date,today_weight,period_ret,Date,close
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150113,30.3305
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150113,124.7035
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150113,23.1088
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150113,30.6872
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150113,25.7824
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150113,23.0276
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150113,34.6826
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150113,34.461
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150113,24.2413
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150113,26.9912
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150114,30.4917
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150114,123.4967
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150114,22.7991
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150114,30.6872
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150114,25.6632
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150114,22.9145
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150114,34.7213
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150114,35.0785
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150114,24.316
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150114,26.922
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150115,30.2903
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150115,122.6922
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150115,22.4508
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150115,30.7568
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150115,25.2659
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150115,23.0276
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150115,34.6438
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150115,35.5314
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150115,24.5027
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150115,26.7147
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150116,30.0486
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150116,122.2899
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150116,22.2959
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150116,30.6525
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150116,27.0139
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150116,22.8768
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150116,34.7601
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150116,34.708
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150116,23.9051
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150116,26.7492
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150119,29.9277
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150119,122.2899
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150119,22.2959
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150119,30.6177
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150119,26.5769
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150119,22.8015
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150119,35.1864
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150119,34.2139
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150119,24.1292
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150119,26.8875
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150120,29.9277
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150120,122.6922
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150120,22.4508
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150120,30.6525
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150120,26.6166
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150120,22.9522
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150120,35.3414
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150120,34.708
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150120,24.3907
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150120,26.9566
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150121,29.8875
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150121,123.899
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150121,22.3733
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150121,30.6525
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150121,26.5769
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150121,22.7261
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150121,35.2251
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150121,34.5433
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150121,24.7269
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150121,27.0257
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150122,29.8875
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150122,124.3013
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150122,22.3346
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150122,30.6872
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150122,27.2522
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150122,22.6507
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150122,35.2639
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150122,36.396
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150122,26.1836
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150122,27.0257
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150123,30.1291
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150123,124.3013
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150123,22.4895
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150123,30.6872
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150123,26.6166
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150123,22.7638
關聯規則分析投資策略,4535,至興,20150113,0.002196461,20150127,0.002188818,8.93886E-05,20150123,35.1864
關聯規則分析投資策略,5349,先豐,20150113,0,20150127,0,0.000322113,20150123,36.0255
關聯規則分析投資策略,9924,福興,20150113,0.00151066,20150127,0.001664417,0.001155116,20150123,25.9221
關聯規則分析投資策略,9943,好樂迪,20150113,0.000730279,20150127,0.00071942,-0.000025935,20150123,27.0257
關聯規則分析投資策略,1720,生達,20150113,0.000121226,20150127,0.000119261,-0.000039564,20150126,29.9277
關聯規則分析投資策略,1723,中碳,20150113,0.001240458,20150127,0.00122519,0.02220446,20150126,123.4967
關聯規則分析投資策略,1730,花仙子,20150113,0.002129089,20150127,0.002031908,-0.000337516,20150126,22.2959
關聯規則分析投資策略,2433,互盛電,20150113,0.001608531,20150127,0.001586662,-0.000013033,20150126,30.6525
關聯規則分析投資策略,2615,萬海,20150113,0.000108937,20150127,0.000108097,4.65477E-05,20150126,26.3385
關聯規則分析投資策略,3390,旭軟,20150113,0.000354358,20150127,0.000356228,0.000178029,20150126,23.5175
